<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.10	19:04:00	714.19	715.01	713.81	714.77	82	25587	5
2025.10.10	19:05:00	715.00	716.00	715.00	716.00	65	10081	5
2025.10.10	19:06:00	716.01	716.01	714.44	714.58	72	7963	1
2025.10.10	19:07:00	714.03	715.41	713.84	714.99	69	9553	5
2025.10.10	19:08:00	715.05	715.88	714.82	715.35	42	7126	3
2025.10.10	19:09:00	715.59	715.99	715.40	715.50	33	8419	3
2025.10.10	19:10:00	715.56	715.80	714.53	714.53	43	22503	1
2025.10.10	19:11:00	714.36	715.10	714.00	715.10	67	10352	2
2025.10.10	19:12:00	715.05	715.53	714.85	715.04	19	3630	10
2025.10.10	19:13:00	715.24	716.01	715.05	715.60	65	13885	1
2025.10.10	19:14:00	715.76	716.81	715.72	716.69	110	19967	2
2025.10.10	19:15:00	716.79	717.09	716.18	716.79	39	6801	1
2025.10.10	19:16:00	716.50	716.73	715.10	715.10	44	8628	2
2025.10.10	19:17:00	715.24	715.49	714.54	714.67	57	17361	2
2025.10.10	19:18:00	714.67	715.11	714.20	714.91	105	17488	2
2025.10.10	19:19:00	714.84	715.69	714.45	715.01	36	6227	3
2025.10.10	19:20:00	715.03	715.03	714.20	714.20	50	8178	2
2025.10.10	19:21:00	714.30	715.45	713.84	715.05	81	14745	1
2025.10.10	19:22:00	715.37	715.74	714.81	715.48	25	3932	8
2025.10.10	19:23:00	715.56	716.75	715.56	716.42	38	7608	2
2025.10.10	19:24:00	716.42	716.77	716.06	716.49	101	15511	2
2025.10.10	19:25:00	716.51	716.71	715.95	716.01	46	12272	1
2025.10.10	19:26:00	715.94	716.48	715.70	716.44	44	5804	1
2025.10.10	19:27:00	716.50	716.99	716.47	716.96	43	6699	3
2025.10.10	19:28:00	716.61	716.83	716.08	716.08	31	9381	1
2025.10.10	19:29:00	716.13	716.71	716.13	716.26	31	4797	4
2025.10.10	19:30:00	716.25	716.77	715.87	716.32	60	9897	1
2025.10.10	19:31:00	716.31	716.89	716.17	716.63	30	4815	1
2025.10.10	19:32:00	717.00	717.67	716.87	717.22	58	8881	2
2025.10.10	19:33:00	717.27	717.31	716.61	716.72	35	4710	1
2025.10.10	19:34:00	716.50	716.65	715.16	715.35	49	5803	1
2025.10.10	19:35:00	715.37	715.50	714.91	715.09	36	5396	6
2025.10.10	19:36:00	715.39	716.01	715.35	716.01	19	2250	8
2025.10.10	19:37:00	715.80	716.00	715.80	715.87	15	2200	1
2025.10.10	19:38:00	715.67	715.85	715.20	715.72	41	5496	3
2025.10.10	19:39:00	715.83	715.83	715.50	715.51	21	2695	6
2025.10.10	19:40:00	715.66	716.05	715.48	715.67	28	3434	3
2025.10.10	19:41:00	715.48	715.48	714.71	715.01	72	12274	1
2025.10.10	19:42:00	714.86	715.02	714.27	714.27	31	8821	1
2025.10.10	19:43:00	714.34	714.51	713.73	713.88	52	9122	1
2025.10.10	19:44:00	713.77	714.37	713.76	714.03	44	6607	1
2025.10.10	19:45:00	713.97	714.44	713.72	714.17	51	6897	1
2025.10.10	19:46:00	714.04	714.13	713.23	713.43	64	13036	5
2025.10.10	19:47:00	713.26	714.00	713.00	713.06	89	23821	2
2025.10.10	19:48:00	713.21	713.25	712.27	712.43	68	11825	1
2025.10.10	19:49:00	712.51	712.75	712.26	712.38	59	8096	1
2025.10.10	19:50:00	712.38	712.82	711.48	711.48	79	12993	1
2025.10.10	19:51:00	711.52	712.00	710.60	710.72	137	24103	1
2025.10.10	19:52:00	710.60	711.22	710.36	710.55	114	16789	1
2025.10.10	19:53:00	710.67	711.29	710.36	710.53	88	13919	4
2025.10.10	19:54:00	710.39	711.11	710.39	711.11	73	10965	1
2025.10.10	19:55:00	711.12	711.56	710.96	710.96	38	6344	1
2025.10.10	19:56:00	711.23	711.63	710.89	711.19	41	8504	1
2025.10.10	19:57:00	711.36	711.49	711.00	711.07	47	7104	4
2025.10.10	19:58:00	711.01	711.16	710.50	710.60	42	11442	3
2025.10.10	19:59:00	710.52	711.12	710.44	710.87	37	5514	1
2025.10.10	20:00:00	710.82	711.15	710.36	710.72	50	6964	1
2025.10.10	20:01:00	710.88	710.89	710.38	710.38	54	7605	2
2025.10.10	20:02:00	710.56	710.91	710.26	710.36	77	12011	1
2025.10.10	20:03:00	710.32	710.48	709.65	710.07	142	24734	1
2025.10.10	20:04:00	709.97	710.53	709.83	710.30	61	10149	1
2025.10.10	20:05:00	710.36	710.36	709.52	709.78	56	9719	2
2025.10.10	20:06:00	709.96	710.40	709.62	710.34	81	13531	2
2025.10.10	20:07:00	710.24	710.34	709.71	709.77	28	4014	1
2025.10.10	20:08:00	709.69	709.88	709.23	709.63	57	8190	1
2025.10.10	20:09:00	709.75	709.75	709.02	709.59	53	10321	1
2025.10.10	20:10:00	709.62	710.23	709.62	709.91	52	9857	1
2025.10.10	20:11:00	710.05	711.50	709.90	711.26	72	9895	2
2025.10.10	20:12:00	711.30	711.34	710.42	710.74	58	9097	1
2025.10.10	20:13:00	710.66	710.84	709.68	709.71	35	5249	4
2025.10.10	20:14:00	709.55	709.85	708.88	709.21	106	16433	1
2025.10.10	20:15:00	709.43	709.81	708.88	709.65	56	8593	1
2025.10.10	20:16:00	709.50	710.58	709.50	710.35	35	7132	1
2025.10.10	20:17:00	710.49	710.88	710.36	710.74	59	11722	1
2025.10.10	20:18:00	710.55	711.10	710.43	710.50	80	11975	1
2025.10.10	20:19:00	710.69	710.97	710.45	710.89	24	9615	1
2025.10.10	20:20:00	710.71	711.05	710.04	710.15	73	12258	2
2025.10.10	20:21:00	710.12	711.00	710.02	710.90	65	10747	1
2025.10.10	20:22:00	711.06	711.87	710.92	711.76	37	5534	1
2025.10.10	20:23:00	711.72	712.00	711.30	711.34	52	8617	1
2025.10.10	20:24:00	711.33	711.47	710.88	711.13	41	5168	3
2025.10.10	20:25:00	711.25	711.25	710.53	710.75	48	8471	2
2025.10.10	20:26:00	711.01	711.22	710.50	710.98	30	4047	2
2025.10.10	20:27:00	710.98	711.61	710.88	711.50	40	4693	1
2025.10.10	20:28:00	711.68	712.46	711.68	712.46	61	9365	1
2025.10.10	20:29:00	711.92	712.26	711.50	712.15	52	7319	1
2025.10.10	20:30:00	712.06	712.68	712.02	712.17	65	9729	1
2025.10.10	20:31:00	712.22	712.36	711.69	712.27	42	6598	4
2025.10.10	20:32:00	712.13	712.53	711.74	712.48	44	6765	1
2025.10.10	20:33:00	712.46	712.78	712.38	712.75	52	6306	2
2025.10.10	20:34:00	712.75	713.49	712.74	713.49	96	14727	1
2025.10.10	20:35:00	713.41	713.93	713.26	713.93	79	15024	1
2025.10.10	20:36:00	713.99	714.16	713.70	714.15	65	11164	1
2025.10.10	20:37:00	714.22	714.41	713.36	713.36	48	7655	2
2025.10.10	20:38:00	713.19	713.76	713.03	713.55	52	11219	1
2025.10.10	20:39:00	713.65	713.66	713.15	713.52	56	10776	1
2025.10.10	20:40:00	713.50	714.32	713.39	714.06	50	13496	5
2025.10.10	20:41:00	714.06	714.20	713.73	713.80	26	4430	4
2025.10.10	20:42:00	713.71	713.95	713.64	713.88	46	5998	1
