<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	22:55:00	232.81	232.96	232.71	232.72	677	140561	1
2025.10.09	22:56:00	232.72	232.82	232.60	232.67	408	87064	1
2025.10.09	22:57:00	232.66	232.80	232.40	232.77	865	183510	1
2025.10.09	22:58:00	232.76	232.84	232.60	232.62	652	150036	1
2025.10.09	22:59:00	232.62	233.05	232.58	232.89	1457	299166	1
2025.10.09	23:00:00	232.88	232.89	232.88	232.89	895	1797877	1
2025.10.10	16:30:00	232.86	233.80	231.76	232.69	2017	706817	1
2025.10.10	16:31:00	232.53	234.22	232.53	233.84	1188	279131	1
2025.10.10	16:32:00	233.74	233.83	232.55	232.81	782	205424	1
2025.10.10	16:33:00	232.87	233.49	232.38	233.14	846	197775	1
2025.10.10	16:34:00	233.14	233.21	232.22	232.86	617	134652	1
2025.10.10	16:35:00	232.86	233.29	232.13	232.24	724	157596	1
2025.10.10	16:36:00	232.34	232.73	231.70	232.35	844	206947	1
2025.10.10	16:37:00	232.32	232.38	231.47	231.85	830	204340	1
2025.10.10	16:38:00	231.89	232.10	230.37	230.37	992	262173	1
2025.10.10	16:39:00	230.38	230.68	230.08	230.43	1064	229481	1
2025.10.10	16:40:00	230.43	231.11	230.24	230.95	898	240521	1
2025.10.10	16:41:00	230.95	230.97	230.24	230.41	572	121076	1
2025.10.10	16:42:00	230.38	230.60	229.68	230.05	1425	319836	1
2025.10.10	16:43:00	230.07	230.10	229.19	229.19	993	252021	1
2025.10.10	16:44:00	229.18	229.53	228.73	229.06	1465	347576	1
2025.10.10	16:45:00	229.00	229.19	228.51	228.76	1253	296208	1
2025.10.10	16:46:00	228.75	229.26	228.51	228.97	1003	250200	1
2025.10.10	16:47:00	229.01	229.49	228.56	228.70	1351	305142	1
2025.10.10	16:48:00	228.70	228.70	227.75	228.34	1828	454598	1
2025.10.10	16:49:00	228.36	228.63	228.20	228.27	841	196730	1
2025.10.10	16:50:00	228.23	228.80	228.06	228.09	1327	282564	1
2025.10.10	16:51:00	228.06	228.48	227.54	227.58	961	250738	1
2025.10.10	16:52:00	227.54	228.53	227.41	228.31	1027	300667	1
2025.10.10	16:53:00	228.29	229.11	228.18	228.73	1091	364905	1
2025.10.10	16:54:00	228.70	228.93	228.31	228.57	618	141908	1
2025.10.10	16:55:00	228.57	228.85	228.30	228.51	833	186594	1
2025.10.10	16:56:00	228.50	228.73	227.83	227.97	815	218728	1
2025.10.10	16:57:00	228.01	228.85	228.01	228.76	718	179116	1
2025.10.10	16:58:00	228.79	229.05	228.45	228.52	736	204863	1
2025.10.10	16:59:00	228.61	229.41	228.52	229.30	792	195392	1
2025.10.10	17:00:00	229.25	229.80	228.90	229.10	1219	350817	1
2025.10.10	17:01:00	229.05	229.10	227.84	228.11	962	258681	1
2025.10.10	17:02:00	228.08	228.47	227.84	228.46	666	153025	1
2025.10.10	17:03:00	228.41	228.47	227.88	228.07	538	138653	1
2025.10.10	17:04:00	228.07	228.70	228.06	228.65	433	106341	1
2025.10.10	17:05:00	228.61	228.75	228.13	228.15	415	103766	1
2025.10.10	17:06:00	228.16	228.52	227.60	227.60	832	191980	1
2025.10.10	17:07:00	227.60	228.20	227.25	228.05	1322	335628	1
2025.10.10	17:08:00	228.05	228.07	227.38	227.51	591	133029	1
2025.10.10	17:09:00	227.51	227.75	227.30	227.55	611	132671	1
2025.10.10	17:10:00	227.55	227.85	227.45	227.76	502	122873	1
2025.10.10	17:11:00	227.73	228.61	227.71	228.56	880	207238	1
2025.10.10	17:12:00	228.54	228.56	228.01	228.16	489	129854	1
2025.10.10	17:13:00	228.20	228.24	227.76	228.01	502	130133	1
2025.10.10	17:14:00	228.02	228.05	227.34	227.56	500	134008	1
2025.10.10	17:15:00	227.58	227.61	226.76	227.04	1098	311970	1
2025.10.10	17:16:00	227.07	227.33	226.93	227.30	549	136204	1
2025.10.10	17:17:00	227.28	227.58	227.04	227.06	593	144322	1
2025.10.10	17:18:00	227.04	228.09	226.98	228.01	739	174463	1
2025.10.10	17:19:00	228.06	228.38	228.01	228.31	545	182064	1
2025.10.10	17:20:00	228.32	228.94	228.28	228.90	797	248436	1
2025.10.10	17:21:00	228.91	229.08	228.58	228.86	688	175930	1
2025.10.10	17:22:00	228.78	228.97	228.61	228.77	518	136802	1
2025.10.10	17:23:00	228.71	228.98	228.54	228.59	523	123439	1
