<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	19:38:00	224.33	224.44	224.26	224.44	226	41213	1
2025.10.09	19:39:00	224.45	224.50	224.29	224.36	328	51132	1
2025.10.09	19:40:00	224.37	224.40	224.20	224.24	206	38178	1
2025.10.09	19:41:00	224.24	224.24	224.03	224.05	201	35584	1
2025.10.09	19:42:00	224.06	224.11	224.00	224.07	193	44564	1
2025.10.09	19:43:00	224.07	224.20	224.01	224.16	158	22501	1
2025.10.09	19:44:00	224.16	224.20	224.06	224.07	137	21420	1
2025.10.09	19:45:00	224.07	224.31	224.04	224.30	64	11085	1
2025.10.09	19:46:00	224.31	224.32	224.18	224.21	60	10257	1
2025.10.09	19:47:00	224.22	224.43	224.20	224.41	133	24351	1
2025.10.09	19:48:00	224.40	224.43	224.35	224.43	71	10940	1
2025.10.09	19:49:00	224.42	224.46	224.39	224.45	106	15349	1
2025.10.09	19:50:00	224.45	224.49	224.42	224.43	87	12830	1
2025.10.09	19:51:00	224.43	224.45	224.36	224.45	101	13012	1
2025.10.09	19:52:00	224.45	224.45	224.31	224.36	91	14244	1
2025.10.09	19:53:00	224.36	224.40	224.30	224.37	125	27614	1
2025.10.09	19:54:00	224.38	224.38	224.17	224.18	180	27289	1
2025.10.09	19:55:00	224.18	224.22	224.10	224.12	99	21917	1
2025.10.09	19:56:00	224.12	224.13	223.96	224.00	130	24209	1
2025.10.09	19:57:00	224.02	224.02	223.81	223.83	161	31417	1
2025.10.09	19:58:00	223.82	223.83	223.70	223.75	145	31195	1
2025.10.09	19:59:00	223.76	223.95	223.76	223.88	104	16785	1
2025.10.09	20:00:00	223.87	224.04	223.85	224.04	131	25760	1
2025.10.09	20:01:00	224.03	224.03	223.79	223.88	211	38826	1
2025.10.09	20:02:00	223.90	223.96	223.81	223.85	137	27149	1
2025.10.09	20:03:00	223.83	223.99	223.77	223.87	104	17762	1
2025.10.09	20:04:00	223.86	223.97	223.84	223.94	167	36344	1
2025.10.09	20:05:00	223.94	224.01	223.86	223.90	153	27552	1
2025.10.09	20:06:00	223.90	224.06	223.89	224.06	92	15369	1
2025.10.09	20:07:00	224.06	224.06	223.93	223.93	104	18607	1
2025.10.09	20:08:00	223.93	223.96	223.85	223.94	84	12570	1
2025.10.09	20:09:00	223.94	224.04	223.93	223.98	69	13183	1
2025.10.09	20:10:00	223.98	223.99	223.88	223.88	64	8881	1
2025.10.09	20:11:00	223.84	223.87	223.74	223.81	130	19645	1
2025.10.09	20:12:00	223.80	223.86	223.74	223.83	126	20857	1
2025.10.09	20:13:00	223.82	223.93	223.81	223.84	101	13053	1
2025.10.09	20:14:00	223.83	223.86	223.77	223.81	67	10562	1
2025.10.09	20:15:00	223.80	223.92	223.77	223.77	90	24461	1
2025.10.09	20:16:00	223.77	223.79	223.64	223.66	137	28950	1
2025.10.09	20:17:00	223.67	223.71	223.53	223.54	137	29516	1
2025.10.09	20:18:00	223.54	223.60	223.47	223.55	197	49233	1
2025.10.09	20:19:00	223.54	223.58	223.46	223.56	138	23912	1
2025.10.09	20:20:00	223.53	223.87	223.53	223.86	161	31512	1
2025.10.09	20:21:00	223.88	223.89	223.76	223.76	94	17915	1
2025.10.09	20:22:00	223.78	223.85	223.75	223.84	92	14328	1
2025.10.09	20:23:00	223.83	223.91	223.79	223.83	64	12682	1
2025.10.09	20:24:00	223.83	223.88	223.77	223.85	149	25272	1
2025.10.09	20:25:00	223.86	223.95	223.86	223.87	61	8009	1
2025.10.09	20:26:00	223.88	223.92	223.80	223.88	93	14929	1
2025.10.09	20:27:00	223.89	223.94	223.86	223.88	90	17389	1
2025.10.09	20:28:00	223.89	223.96	223.88	223.93	118	25010	1
2025.10.09	20:29:00	223.92	223.98	223.83	223.91	132	22354	1
2025.10.09	20:30:00	223.91	223.96	223.81	223.96	123	21508	1
2025.10.09	20:31:00	223.99	224.21	223.98	224.16	217	46237	1
2025.10.09	20:32:00	224.15	224.25	224.15	224.20	146	25709	1
2025.10.09	20:33:00	224.21	224.29	224.18	224.24	204	37670	1
2025.10.09	20:34:00	224.24	224.31	224.19	224.19	127	25964	1
2025.10.09	20:35:00	224.18	224.23	224.14	224.22	169	31757	1
2025.10.09	20:36:00	224.23	224.37	224.21	224.33	153	31683	1
2025.10.09	20:37:00	224.32	224.45	224.31	224.40	198	50175	1
2025.10.09	20:38:00	224.41	224.50	224.36	224.45	108	17132	1
2025.10.09	20:39:00	224.45	224.47	224.41	224.44	167	29058	1
2025.10.09	20:40:00	224.43	224.62	224.42	224.54	304	63873	1
2025.10.09	20:41:00	224.53	224.55	224.43	224.49	186	33977	1
2025.10.09	20:42:00	224.50	224.65	224.50	224.62	190	31305	1
2025.10.09	20:43:00	224.63	224.76	224.59	224.65	266	58065	1
2025.10.09	20:44:00	224.67	224.78	224.65	224.75	176	32696	1
2025.10.09	20:45:00	224.76	224.77	224.51	224.69	207	36727	1
2025.10.09	20:46:00	224.68	224.77	224.65	224.74	176	30149	1
2025.10.09	20:47:00	224.74	224.84	224.74	224.82	172	30236	1
2025.10.09	20:48:00	224.81	224.81	224.72	224.78	141	27539	1
2025.10.09	20:49:00	224.80	224.95	224.80	224.90	208	37943	1
2025.10.09	20:50:00	224.89	224.99	224.89	224.99	149	31492	1
2025.10.09	20:51:00	224.99	224.99	224.77	224.79	219	39169	1
2025.10.09	20:52:00	224.79	224.84	224.70	224.75	132	17892	1
2025.10.09	20:53:00	224.75	224.90	224.71	224.88	158	32811	1
2025.10.09	20:54:00	224.90	224.95	224.86	224.93	107	20760	1
2025.10.09	20:55:00	224.93	224.99	224.86	224.93	197	27935	1
2025.10.09	20:56:00	224.94	225.06	224.94	225.01	315	62152	1
2025.10.09	20:57:00	225.01	225.11	224.96	225.11	236	32197	1
2025.10.09	20:58:00	225.12	225.14	225.06	225.08	211	33826	1
2025.10.09	20:59:00	225.07	225.18	225.06	225.15	172	27994	1
